date,Keywords,RelativePopularity,Type,Origin,Loc
2007-12-01,Hot dog,3.0,Mains,American,Worldwide
2008-01-01,Hot dog,3.0,Mains,American,Worldwide
2008-02-01,Hot dog,3.0,Mains,American,Worldwide
2008-03-01,Hot dog,3.0,Mains,American,Worldwide
2008-04-01,Hot dog,3.0,Mains,American,Worldwide
2008-05-01,Hot dog,4.0,Mains,American,Worldwide
2008-06-01,Hot dog,4.0,Mains,American,Worldwide
2008-07-01,Hot dog,5.0,Mains,American,Worldwide
2008-08-01,Hot dog,4.0,Mains,American,Worldwide
2008-09-01,Hot dog,3.0,Mains,American,Worldwide
2008-10-01,Hot dog,4.0,Mains,American,Worldwide
2008-11-01,Hot dog,4.0,Mains,American,Worldwide
2008-12-01,Hot dog,3.0,Mains,American,Worldwide
2009-01-01,Hot dog,3.0,Mains,American,Worldwide
2009-02-01,Hot dog,3.0,Mains,American,Worldwide
2009-03-01,Hot dog,3.0,Mains,American,Worldwide
2009-04-01,Hot dog,4.0,Mains,American,Worldwide
2009-05-01,Hot dog,4.0,Mains,American,Worldwide
2009-06-01,Hot dog,4.0,Mains,American,Worldwide
2009-07-01,Hot dog,5.0,Mains,American,Worldwide
2009-08-01,Hot dog,4.0,Mains,American,Worldwide
2009-09-01,Hot dog,3.0,Mains,American,Worldwide
2009-10-01,Hot dog,4.0,Mains,American,Worldwide
2009-11-01,Hot dog,3.0,Mains,American,Worldwide
2009-12-01,Hot dog,3.0,Mains,American,Worldwide
2010-01-01,Hot dog,3.0,Mains,American,Worldwide
2010-02-01,Hot dog,3.0,Mains,American,Worldwide
