geoName,Keywords,RelativePopularity,Type,Origin,geoSum,PercentageBreakdown
Algeria,Samosa,1.2244897959183674,Sides/Snacks,Indian,2475.080297049825,0.0004947273013234761
Algeria,Aloo gobi,0.0,Mains,Indian,2475.080297049825,0.0
Algeria,Biryani,9.183673469387756,Mains,Indian,2475.080297049825,0.003710454759926071
Algeria,Chicken Tikka Masala,0.0,Mains,Indian,2475.080297049825,0.0
Algeria,Indian Curry,0.0,Mains,Indian,2475.080297049825,0.0
Algeria,Tandoori,11.27659574468085,Mains,Indian,2475.080297049825,0.004556052487720097
Algeria,Mango Lassi,0.0,Desserts/Drinks,Indian,2475.080297049825,0.0
Algeria,Masala Chai,0.0,Desserts/Drinks,Indian,2475.080297049825,0.0
Algeria,Soto,0.4166666666666667,Soup/Noodles,Indonesian,2475.080297049825,0.0001683447067003495
Algeria,Pempek,0.0,Sides/Snacks,Indonesian,2475.080297049825,0.0
Algeria,Gado-gado,0.0,Mains,Indonesian,2475.080297049825,0.0
Algeria,Chicken Satay,0.0,Mains,Indonesian,2475.080297049825,0.0
Algeria,Nasi Goreng,0.0,Mains,Indonesian,2475.080297049825,0.0
Algeria,Nasi Padang,0.0,Mains,Indonesian,2475.080297049825,0.0
Algeria,Rendang,0.0,Mains,Indonesian,2475.080297049825,0.0
Algeria,Martabak,0.0,Desserts/Drinks,Indonesian,2475.080297049825,0.0
Algeria,Minestrone,0.0,Soup/Noodles,Italian,2475.080297049825,0.0
Algeria,Bruschetta,3.333333333333333,Sides/Snacks,Italian,2475.080297049825,0.0013467576536027959
Algeria,Calzone,5.185185185185185,Sides/Snacks,Italian,2475.080297049825,0.0020949563500487936
Algeria,Caprese Salad,0.0,Sides/Snacks,Italian,2475.080297049825,0.0
Algeria,Fettuccine Alfredo,0.0,Mains,Italian,2475.080297049825,0.0
Algeria,Lasagna,6.4,Mains,Italian,2475.080297049825,0.0025857746949173683
Algeria,Macaroni,23.6,Mains,Italian,2475.080297049825,0.009535044187507795
Algeria,Pasta Carbonara,0.0,Mains,Italian,2475.080297049825,0.0
Algeria,Pizza,880.0,Mains,Italian,2475.080297049825,0.35554402055113815
Algeria,Ravioli,10.0,Mains,Italian,2475.080297049825,0.004040272960808388
Algeria,Risotto,20.0,Mains,Italian,2475.080297049825,0.008080545921616776
Algeria,Spaghetti,80.0,Mains,Italian,2475.080297049825,0.0323221836864671
Algeria,Gelato,20.0,Desserts/Drinks,Italian,2475.080297049825,0.008080545921616776
Algeria,Tiramisu,296.6666666666667,Desserts/Drinks,Italian,2475.080297049825,0.11986143117064885
Algeria,Miso soup,0.0,Soup/Noodles,Japanese,2475.080297049825,0.0
Algeria,Ramen,6.666666666666667,Soup/Noodles,Japanese,2475.080297049825,0.002693515307205592
Algeria,Soba,1.0256410256410255,Soup/Noodles,Japanese,2475.080297049825,0.0004143869703393218
Algeria,Udon,1.0256410256410255,Soup/Noodles,Japanese,2475.080297049825,0.0004143869703393218
Algeria,Edamame,0.7692307692307692,Sides/Snacks,Japanese,2475.080297049825,0.00031079022775449134
Algeria,Takoyaki,0.0,Sides/Snacks,Japanese,2475.080297049825,0.0
Algeria,Tempura,2.6582278481012658,Sides/Snacks,Japanese,2475.080297049825,0.0010739966098351412
Algeria,Yakitori,0.0,Sides/Snacks,Japanese,2475.080297049825,0.0
Algeria,Donburi,0.0,Mains,Japanese,2475.080297049825,0.0
Algeria,Okonomiyaki,0.0,Mains,Japanese,2475.080297049825,0.0
Algeria,Omurice,0.0,Mains,Japanese,2475.080297049825,0.0
Algeria,Sashimi,1.3333333333333333,Mains,Japanese,2475.080297049825,0.0005387030614411183
Algeria,Sushi,55.33333333333333,Mains,Japanese,2475.080297049825,0.02235617704980641
Algeria,Dorayaki,0.0,Desserts/Drinks,Japanese,2475.080297049825,0.0
Algeria,Jjajangmyeon,0.0,Soup/Noodles,Korean,2475.080297049825,0.0
Algeria,Kimchi,5.0,Sides/Snacks,Korean,2475.080297049825,0.002020136480404194
Algeria,Oden,1.129032258064516,Sides/Snacks,Korean,2475.080297049825,0.0004561598504138502
Algeria,Tteokbokki,0.0,Sides/Snacks,Korean,2475.080297049825,0.0
Algeria,Bibimbab,0.0,Mains,Korean,2475.080297049825,0.0
Algeria,Bulgogi,0.0,Mains,Korean,2475.080297049825,0.0
Algeria,Galbi,1.1111111111111112,Mains,Korean,2475.080297049825,0.0004489192178675987
Algeria,Gimbap,0.0,Mains,Korean,2475.080297049825,0.0
Algeria,Samgyetang,0.0,Mains,Korean,2475.080297049825,0.0
Algeria,Bingsu,0.0,Desserts/Drinks,Korean,2475.080297049825,0.0
Algeria,Soju,0.0,Desserts/Drinks,Korean,2475.080297049825,0.0
Algeria,Guacamole,8.518518518518517,Sides/Snacks,Mexican,2475.080297049825,0.0034417140036515892
Algeria,Nacos,0.0,Sides/Snacks,Mexican,2475.080297049825,0.0
Algeria,Chilli con carne,0.0,Mains,Mexican,2475.080297049825,0.0
Algeria,Enchiladas,2.2535211267605635,Mains,Mexican,2475.080297049825,0.0009104840475061156
Algeria,Quesadillas,1.8309859154929577,Mains,Mexican,2475.080297049825,0.000739768288598719
Algeria,Tacos,140.0,Mains,Mexican,2475.080297049825,0.05656382145131743
Algeria,Churros,16.666666666666668,Desserts/Drinks,Mexican,2475.080297049825,0.00673378826801398
Algeria,Croquetas,0.0,Sides/Snacks,Spanish,2475.080297049825,0.0
Algeria,Patatas Bravas,0.0,Sides/Snacks,Spanish,2475.080297049825,0.0
Algeria,Jamon,1.8181818181818181,Mains,Spanish,2475.080297049825,0.0007345950837833432
